Name,Outcome,12,14,31,32,52,63,72,83,312,836,725,412,413,831,631,721,521,5213,7213,6312,8312,5214,7214,6314,8314
1,0,1391484722,990168806,1514768001,2065994795,1151907267,1141246234,999538609,1113703384,9051081232,1239477985,1181037652,1172957726,1296808293,1132741869,1184179924,130084053,1115192194,6855391439,-1178952336,-1031133199,5439616457,-1551312692,1841958288,1297812604,-7270925506
2,0,139323381,105299915,1470147089,2015604722,1056546673,1138029147,1021475462,984122974,8944374243,1145615744,1126143513,1188576403,1329432988,1205948754,1239510405,1199863202,1273570921,5605379856,-1213987448,-100194209,9121781279,-1633622972,1918515944,1292410106,-3934696755
3,0,1331851365,1055285344,1536035033,1917799807,1064579115,100193037,1007311949,114891586,8361133059,1034895737,1116115105,1322079841,1266293966,1111218757,1387158675,1189295533,1263502505,5445288805,-1472297573,-1055468722,1094702813,-1703958794,-1207852466,1150647599,-2991808659
4,0,1438597819,1101572758,1541065102,2069602249,992840267,976612463,1032542425,1104287885,8791660756,1270008224,1206574038,1243946446,13675243,1126613464,1175023232,1097022561,1291039951,4802866855,-1234684437,-6084495209,1014497612,-1628326427,256702451,1573098286,-4039545809
5,0,1341580952,1131521571,1516577179,206317179,968662932,1109968749,1084395268,975434654,9220878591,1259793684,1064261849,1347459656,1265853103,1020704985,1302628128,12019406,1323706671,5783230805,-1089768283,-6331979723,1022403501,-1507610009,4242986266,1417243747,-5271547802
6,0,1399484519,1001273946,1434241,2042808574,1121787556,1150381965,1027280961,1162052706,9224797532,1297150161,1165228195,1290044971,1152653288,1194509124,1086260891,1250903444,1136660024,6939312497,-1359498936,-6965511947,9506707277,-165054028,-1039704656,1547001732,-4057763457
7,0,1284566647,1000599167,1425845395,1871152759,1252057267,1090803689,1132786771,1194825389,8715320676,1051374019,1145209076,1191578782,1360457261,1162060922,1326348628,1233575216,1208764132,3797969276,-1285665819,-1001467611,1117753814,-1791158282,1433789719,1292173803,-1886047711
8,0,1355223254,1061880177,153671923,200460036,1199722226,1136019932,1118222512,1196079812,8752712194,1183376279,1118854085,1209762509,1272942497,120950432,1180507385,1206548158,1271141043,4833848253,-1243411061,-8541727757,1133767647,-1787059404,8614470988,1466543904,-1455156733
9,0,1332384582,1190941888,1509356828,1968705214,1160996391,1044993741,1183385767,1083559198,8746912213,115644498,1211636488,1239740455,1304416024,1240100165,1196289053,1278337519,1098281886,444140921,-1231508741,-9040494244,9972870222,-1767192535,1571578029,1353844197,-344819356
10,0,1362537174,11087985,1402893198,1863344391,980882971,1001503992,1088369403,1055832849,847085359,1225095239,978740393,1293130252,1444468965,1274047928,1094210975,1228662776,1363354031,523054409,-1517478701,-9286294088,9638867759,-1391137548,1683293418,102411513,-683368685
2324,1,1351822217,99548276,1502628339,2036420449,1004833897,1077913895,1128907946,971212891,9087010998,1255237725,1033812637,1254727373,1320062988,1117476075,1225327624,1382333966,1178252704,5600705088,-1136899794,-7938514192,105443065,-157621059,3268191074,1379844563,-3718733676
2325,1,1348467056,1144100453,1495683054,198359838,1055422654,1182830201,1213929798,105597871,8828433736,1252630914,1023204397,1297611136,1094266328,1219871262,1126570286,129498338,1261314074,4144341066,-1193170044,-9189344948,8477720823,1555189408,-5241474211,1361983038,-4713103852
2326,1,1433265073,1149100163,1367558728,1962602898,1123086234,1172431343,1140909286,1189068457,8893802686,1086555748,1223259183,1213921733,1355378237,1232429393,1238747216,116186267,1212757963,4476175692,-1300657078,-9160931098,1141420972,-1696566786,1551585668,1319296026,-2231898919
2327,1,1445279474,116280545,1512104248,2033699558,1158913436,1229780946,1154506389,1079457681,8686075979,1214410849,1160057387,1335394873,1302894934,1152025648,1221377676,1303507044,1132206372,4774025011,-12437454,-8941557944,1030377204,-1649845332,2290067664,1214985479,-4604815228
2328,1,1403202307,1089618544,1469397086,1973642342,1039368277,1156731061,1088611931,1151054958,8676314998,128717267,1129666427,1136802162,127947523,1075751272,12226332,122069271,1225863734,5630030031,-1424422456,-8093770529,8644506804,-1733276917,-1207023766,1612856507,-3133157602
2329,1,133330198,995642423,1527787731,2007356753,998933825,1103244017,1041256561,1244539695,8884179411,123904748,1129878069,1248896957,1278777336,1191543149,1163627499,1228234147,1217569804,660082567,-1329374991,-790291711,1093470403,-1567203154,433392883,1458097594,-2581402915
2330,1,1396748399,1083238511,1424283815,1951899947,1183248714,1084503087,1137585148,1040072776,875572635,1144395505,105989575,1285296707,13379036,118522561,1270267835,1234487172,1270515748,6052586178,-1436361748,-8422133174,9706380532,-1511043445,4733618939,1304119156,-4830294738
2331,1,1431374299,1179669759,1440642784,2037594807,1119725119,111219214,98510769,1244317927,9038216817,1105343017,117703688,1023172243,1305749897,1278217705,119915905,1254124501,116343099,5111711659,-1202184106,-9457966012,1018863202,-1770285615,1163591129,1587674915,-4766528108
2332,1,1422258632,1166068167,1472956698,2019263136,1030812401,1037390917,1230245263,1184199488,8842722431,1094572982,1208486781,1159641296,1375336585,1221923683,1262795637,1114123438,1267495644,4572660148,-1228611714,-7728424898,8459029204,-1704281911,2098403602,1544945504,-4363090859
2333,1,1435723239,982874359,1439243444,2072534233,1059190918,1232441358,1038922759,1085989983,9225590762,1282659791,1205986869,1206966945,1337561949,1221916602,1084163583,126012435,1133398703,5952955349,-1179193742,-8278625912,1084202611,-1545462326,2800483967,1390513216,-2974215813
