atom_idx,experimental_ppm
26,
27,
28,
29,
30,
31,
32,5.90
33,
34,
35,4.28
36,
37,
38,3.85
39,1.27
40,3.15
41,
42,
43,3.93
44,7.16
45,7.10
46,7.25
47,8.09
